Provinsi,Tahun,SD / Sederajat,SMP / Sederajat,SMA / Sederajat,Prevalensi Ketidakcukupan Konsumsi Pangan (Persen),Stunting,Konsumsi Kalori Per Hari Per Kapita,Konsumsi Protein Per Hari Per Kapita,Kemisikinan Maret,Akses Sanitasi Bersih,Proporsi Wanita Menikah/Menjadi Ibu di Usia Muda,Persentase Bayi Usia 0-6 Bulan Mendapatkan ASI,Melahirkan di Faskes
LAMPUNG,2021,98.33,89.46,60.09,10.25,18.5,2097.21,57.65,12.62,83.89,9.77,74.93,92.3
KEP. BANGKA BELITUNG,2021,96.61,80.99,63.98,11.05,18.6,2111.52,64.63,4.9,92.24,14.05,62.94,95.36
KEP. RIAU,2021,98.16,92.71,81.07,7.71,25.4,2149.34,70.31,6.12,91.62,2.89,58.84,95.89
DKI JAKARTA,2021,99.26,95,84.98,2.2,16.8,2223.32,70.51,4.72,95.17,4.68,65.63,99.26
JAWA BARAT,2021,98.45,88.18,64.89,4.44,24.5,2213.98,64.79,8.4,71.66,10.09,76.46,84.94
JAWA TENGAH,2021,98.06,88.44,59.9,12.34,20.9,2072.28,59.28,11.79,83.28,9.75,78.93,97.9
DI YOGYAKARTA,2021,98.48,94.94,90.12,10.18,17.3,2143.98,65.25,12.8,97.12,3.52,77,98.75
JAWA TIMUR,2021,97.76,90.3,66.33,9.14,23.5,2111.8,60.68,11.4,80.97,10.44,69.61,96.55
BANTEN,2021,98.82,90.63,66.9,2.8,24.5,2259.08,66.69,6.66,82.89,6,71.17,87.5
BALI,2021,97.02,94.26,75.86,7.43,10.9,2196.81,62.84,4.53,95.95,5.06,68.51,99.86
NUSA TENGGARA BARAT,2021,98.71,92.19,65.71,1.78,31.4,2542.98,76.79,14.14,82.85,16.59,81.46,96.14
NUSA TENGGARA TIMUR,2021,91.84,78.83,44.88,11.84,37.8,2020.33,57.44,20.99,73.36,5.95,81.18,85.02
KALIMANTAN BARAT,2021,94.29,79.65,54.27,19.6,29.8,1941.4,57,7.15,78.39,13.84,71.21,77.56
KALIMANTAN TENGAH,2021,97.45,89.76,61.04,8.88,27.4,2194.45,63.95,5.16,73.77,15.47,55.98,63.13
KALIMANTAN SELATAN,2021,95.67,84.06,63.59,2.78,30,2295.98,69.34,4.83,81.43,15.3,60.27,83.62
KALIMANTAN TIMUR,2021,96.82,95.34,74.26,12.56,22.8,1981.64,61.29,6.54,89.77,8.64,75.87,92.11
KALIMANTAN UTARA,2021,95.77,90.14,62.3,12.75,27.5,2023.44,64.88,7.36,79.8,10.16,81,92.63
SULAWESI UTARA,2021,96.1,91.05,68.56,6.91,21.6,2109.13,63.39,7.77,84.85,13.56,61.09,89.91
SULAWESI TENGAH,2021,96.19,85.42,61.16,10.63,29.7,2008.55,56.3,13,76.06,12.51,65.93,81.29
SULAWESI SELATAN,2021,97.3,88.18,69.43,7.93,27.4,2144.64,63.24,8.78,91.57,9.25,76.43,95.44
SULAWESI TENGGARA,2021,95.58,90.88,70.65,11.17,30.2,2046.29,60.92,11.66,85.62,13.26,62.54,57.29
GORONTALO,2021,93.44,81.22,53.73,14.84,29,2009.24,57.32,15.61,78.58,11.64,52.75,89.33
SULAWESI BARAT,2021,95.93,86.09,56.22,10.81,33.8,2098.41,58.49,11.29,80.12,17.71,74.75,83.24
MALUKU,2021,98.5,93.08,68.12,29.62,28.1,1874.88,53.45,17.87,76.77,7.08,61.32,45.94
MALUKU UTARA,2021,96.97,92.93,66.95,28.86,27.5,1862.15,51.59,6.89,77.11,13.09,66,64.73
PAPUA BARAT,2021,91.81,85.18,59.08,24.59,26.2,1911.04,54.82,21.84,77.89,12.27,58.77,72.87
PAPUA,2021,78.43,66.06,32.95,37.37,29.5,1879.71,44.94,26.86,40.81,13.21,74.08,66.71
ACEH,2022,99.45,97.63,70.67,10.98,33.2,2064.3,61.17,14.64,77.48,4.83,65.88,92.55
SUMATERA UTARA,2022,98.74,92.84,77.16,8.7,25.8,2123.41,64.65,8.42,82.3,3.8,57.17,88.05
SUMATERA BARAT,2022,97.87,88.83,65.96,7.31,23.3,2109.43,59.24,5.92,69.27,3.62,74.32,95.83
RIAU,2022,98.2,88.53,66.91,15.12,22.3,2022.05,59.69,6.78,84.06,5.79,69.51,86.67
JAMBI,2022,97.62,86.57,65.85,12.14,22.4,2069.51,60.7,7.62,79.54,9.91,72.68,81.14
SUMATERA SELATAN,2022,97.53,88.41,67.07,7.37,24.8,2182.47,65.18,11.9,78.62,11.42,70.46,85.14
BENGKULU,2022,97.65,90.81,64.88,11.66,22.1,2037.55,60.29,14.62,79.58,8.8,67.84,91.66
LAMPUNG,2022,98.41,90.99,62.42,14.63,18.5,2002.72,57.67,11.57,83.65,8.14,76.76,92.21
KEP. BANGKA BELITUNG,2022,96.45,84.72,66.87,15.19,18.6,2065.86,67.57,4.45,91.63,7.91,62.77,96.03
KEP. RIAU,2022,98.38,95.72,73.93,11.3,21.22,2019.87,64.67,6.24,87.74,4.87,62.4,96.34
DKI JAKARTA,2022,98.58,95.4,87.71,3.42,16.8,2146.87,68.15,4.69,92.79,2.07,67.22,96.89
JAWA BARAT,2022,99.08,89.29,67.05,6.75,24.5,2115.7,63.62,8.06,74.02,8.65,77,85.96
JAWA TENGAH,2022,98.01,90.02,58.75,12.34,20.9,2017.64,59.78,10.93,84.37,7.8,78.71,97.69
DI YOGYAKARTA,2022,98.91,97.06,87.92,13.48,17.3,2024.44,62.65,11.34,96.21,2.78,77.16,98.59
JAWA TIMUR,2022,98.71,90.47,66.87,10.27,23.5,2041.69,59.96,10.38,81.13,9.46,69.72,96.28
BANTEN,2022,97.24,92.65,66.02,2.46,24.5,2270.48,69.31,6.16,85.12,7.08,71.7,86.89
BALI,2022,97.55,94.15,76.59,7.72,10.9,2145.71,61.37,4.57,95.94,3.66,66.52,98.13
